Reconstruction_Error,Risk_Status
0.003926288994147227,Normal
0.003978737713301122,Normal
0.004067073128708286,Normal
0.006239918943987238,Normal
0.0031831507023856024,Normal
0.002904037783410464,Normal
0.0030352403907949656,Normal
0.005611791698226143,Normal
0.008548566341221264,Normal
0.008498574820178913,Normal
0.007054505119227212,Normal
0.008041405877578909,Normal
0.007927707943077771,Normal
0.005358572415687567,Normal
0.004675304811320609,Normal
0.004205586677958173,Normal
0.0032889463613904515,Normal
0.003527905064182397,Normal
0.004243277845649867,Normal
0.0036442974905345543,Normal
0.0033895864896069535,Normal
0.0022860382173632335,Normal
0.0022745182097731126,Normal
0.0027529632205762944,Normal
0.002857257683741306,Normal
0.003345673655320203,Normal
0.004036822122332302,Normal
0.004360781249095126,Normal
0.004679243855401795,Normal
0.004874323302468071,Normal
0.005227707779091939,Normal
0.004957417368408294,Normal
0.005270429690387012,Normal
0.005250322809400877,Normal
0.005483705450160203,Normal
0.006025032180399514,Normal
0.003282325405568791,Normal
0.003987544140969853,Normal
0.003375606748425113,Normal
0.004225526985726797,Normal
0.004808548670697397,Normal
0.0056150877626542665,Normal
0.004725258799800321,Normal
0.003980788062327447,Normal
0.014812640880784886,Normal
0.010665281375437449,Normal
0.018631844810435127,Normal
0.013363077005651484,Normal
0.01290981484000988,Normal
0.019532335971379582,Normal
0.009937640961876857,Normal
0.018900744161677047,Normal
0.00901868445837782,Normal
0.015159334641323009,Normal
0.02079238674365179,Normal
0.03046771909032858,High Risk
0.039893909175468166,High Risk
0.023378599456193732,Normal
0.01460807933338416,Normal
0.0076859484789226955,Normal
0.032265821509144935,High Risk
0.023316805479793326,Normal
0.01829266414575326,Normal
0.021147502483034257,Normal
